Timestamp,Date,TTF,CO2,Day-ahead prices,Forecasted Load,Actual Load,Solar,Wind Offshore,Wind Onshore,Wind Total
2018-01-01 00:00:00,2018-01-01,,,26.33,3422.0,3421.0,0.0,783.0,1493.0,2276.0
2018-01-01 01:00:00,2018-01-01,,,26.43,3289.0,3308.0,0.0,893.0,1481.0,2374.0
2018-01-01 02:00:00,2018-01-01,,,26.1,3157.0,3118.0,0.0,755.0,1430.0,2185.0
2018-01-01 03:00:00,2018-01-01,,,24.7,3025.0,3018.0,0.0,747.0,1458.0,2205.0
2018-01-01 04:00:00,2018-01-01,,,24.74,2939.0,2916.0,0.0,886.0,1472.0,2358.0
2018-01-01 05:00:00,2018-01-01,,,18.01,2873.0,2802.0,0.0,859.0,1417.0,2276.0
2018-01-01 06:00:00,2018-01-01,,,10.18,2865.0,2844.0,0.0,884.0,1467.0,2351.0
2018-01-01 07:00:00,2018-01-01,,,17.8,2973.0,2951.0,0.0,925.0,1425.0,2350.0
2018-01-01 08:00:00,2018-01-01,,,19.76,3013.0,3011.0,0.0,905.0,1507.0,2412.0
2018-01-01 09:00:00,2018-01-01,,,20.73,3216.0,3239.0,8.0,985.0,1745.0,2730.0
2018-01-01 10:00:00,2018-01-01,,,24.76,3440.0,3445.0,17.0,1036.0,2067.0,3103.0
2018-01-01 11:00:00,2018-01-01,,,25.68,3576.0,3582.0,30.0,1038.0,2370.0,3408.0
2018-01-01 12:00:00,2018-01-01,,,19.99,3639.0,3648.0,36.0,1028.0,2629.0,3657.0
2018-01-01 13:00:00,2018-01-01,,,25.01,3626.0,3604.0,34.0,1017.0,2699.0,3716.0
2018-01-01 14:00:00,2018-01-01,,,25.81,3658.0,3743.0,20.0,1020.0,2560.0,3580.0
2018-01-01 15:00:00,2018-01-01,,,26.46,3819.0,3733.0,6.0,1028.0,2336.0,3364.0
2018-01-01 16:00:00,2018-01-01,,,27.03,3989.0,3986.0,0.0,1026.0,2082.0,3108.0
2018-01-01 17:00:00,2018-01-01,,,27.43,4300.0,4270.0,0.0,1012.0,1883.0,2895.0
2018-01-01 18:00:00,2018-01-01,,,27.29,4185.0,4183.0,0.0,993.0,1748.0,2741.0
2018-01-01 19:00:00,2018-01-01,,,26.96,3946.0,3951.0,0.0,969.0,1681.0,2650.0
2018-01-01 20:00:00,2018-01-01,,,26.7,3736.0,3721.0,0.0,936.0,1676.0,2612.0
2018-01-01 21:00:00,2018-01-01,,,26.47,3533.0,3477.0,0.0,899.0,1707.0,2606.0
2018-01-01 22:00:00,2018-01-01,,,26.09,3329.0,3265.0,0.0,854.0,1718.0,2572.0
2018-01-01 23:00:00,2018-01-01,,,24.88,3192.0,3067.0,0.0,817.0,1673.0,2490.0
2018-01-02 00:00:00,2018-01-02,19.32,8.22,18.12,2929.0,2889.0,0.0,735.0,1150.0,1885.0
2018-01-02 01:00:00,2018-01-02,19.32,8.22,14.99,2817.0,2825.0,0.0,706.0,1066.0,1772.0
2018-01-02 02:00:00,2018-01-02,19.32,8.22,17.79,2798.0,2780.0,0.0,657.0,1000.0,1657.0
2018-01-02 03:00:00,2018-01-02,19.32,8.22,24.51,2836.0,2793.0,0.0,549.0,906.0,1455.0
2018-01-02 04:00:00,2018-01-02,19.32,8.22,17.82,2921.0,2908.0,0.0,523.0,843.0,1366.0
2018-01-02 05:00:00,2018-01-02,19.32,8.22,26.84,3076.0,3101.0,0.0,443.0,829.0,1272.0
2018-01-02 06:00:00,2018-01-02,19.32,8.22,27.8,3575.0,3648.0,0.0,397.0,844.0,1241.0
2018-01-02 07:00:00,2018-01-02,19.32,8.22,41.92,4276.0,4226.0,0.0,476.0,859.0,1335.0
2018-01-02 08:00:00,2018-01-02,19.32,8.22,47.95,4601.0,4596.0,1.0,482.0,851.0,1333.0
2018-01-02 09:00:00,2018-01-02,19.32,8.22,38.02,4678.0,4694.0,21.0,465.0,830.0,1295.0
2018-01-02 10:00:00,2018-01-02,19.32,8.22,35.04,4775.0,4773.0,72.0,460.0,809.0,1269.0
2018-01-02 11:00:00,2018-01-02,19.32,8.22,35.22,4768.0,4735.0,126.0,461.0,761.0,1222.0
2018-01-02 12:00:00,2018-01-02,19.32,8.22,34.56,4673.0,4638.0,139.0,456.0,707.0,1163.0
